1	2.981822	0.000000	55550
1	0.000000	286.279234	249218992
2	0.339408	0.000000	12994
2	0.000000	268.839622	243090997
3	2.699484	0.000000	61113
3	0.000000	223.361095	197874528
4	0.211331	0.000000	12906
4	0.000000	214.688476	191028645
5	7.820390	0.000000	20583
5	0.000000	204.089357	180715810
6	2.732502	0.000000	92012
6	0.000000	192.039918	171051316
7	0.251801	0.000000	35326
7	0.000000	187.220500	159126774
8	0.324916	0.000000	163784
8	0.000000	168.003442	146301156
9	5.326823	0.000000	40910
9	0.000000	166.359329	141109979
10	0.124459	0.000000	72765
10	0.000000	181.144008	135503693
11	0.940641	0.000000	198062
11	0.000000	158.218650	134945522
12	0.905423	0.000000	148673
12	0.000000	174.679023	133778796
13	6.030216	0.000000	19021222
13	0.000000	125.706316	115106996
14	2.758648	0.000000	19619850
14	0.000000	120.202583	107288377
15	0.079889	0.000000	20014981
15	0.000000	141.860238	102506108
16	0.385028	0.000000	84045
16	0.000000	134.037726	90163588
17	3.745829	0.000000	13043
17	0.000000	128.490529	81045269
18	4.913878	0.000000	11523
18	0.000000	117.708923	78015180
19	0.154179	0.000000	253938
19	0.000000	107.733846	59097160
20	0.735716	0.000000	61795
20	0.000000	108.266934	62949445
21	1.291620	0.000000	10865933
21	0.000000	62.786478	48100155
22	8.096992	0.000000	16051347
22	0.000000	74.109562	51229805
